;;;;16.04.2017;17.04.2017;18.04.2017;19.04.2017;20.04.2017;21.04.2017;22.04.2017;23.04.2017;24.04.2017;25.04.2017;26.04.2017;27.04.2017;28.04.2017;29.04.2017;30.04.2017
;;;;Максим;Максим;Максим;Максим;Максим;Максим;Максим;Максим;Максим;Яна;Яна;Яна;Максим;Максим;Максим
Баббл ти/шейки;;;;;;;;;;;;;;;;;;
;Баббл ти;;;;;;;;;;;;;;;;;
;;Баббл ти стандарт;270,00р.;4;3;4;2;3;3;4;5;3;4;2;3;2;4;5
;;Баббл ти макси;325,00р.;;;;;1;1;1;2;1;2;2;1;1;2;1
;;Баббл ти согревающий стандарт;270,00р.;;1;;;;1;;;;1;;;;2;1
;;Баббл ти согревающий макси;325,00р.;;;;;;;;1;;;1;;;2;
;;Вкусненький Бабл Ти Стандарт;290,00р.;;;;;1;;;2;;1;;;2;1;2
;;Жара Бабл Ти стандарт;290,00р.;;;;;;;;;;;;;;;
;;Кисленький Бабл Ти стандарт;290,00р.;;;1;;;1;;1;;1;;;2;1;2
;;Сладенький Бабл Ти стандарт;290,00р.;;;;1;;;1;1;1;;1;1;;2;1
;;Согревающий жасмин Бабл ти;290,00р.;;;;1;;;;;;;;;;;
;;Тонус Бабл Ти стандарт;290,00р.;;;;;;;;;;;;;1;;
;;Тропический Бабл Ти стандарт;290,00р.;;;;;;;;;;1;;1;;1;
;Милк шейк стандарт;;;;;;;;;;;;;;;1;;
;;Милк шейк стандарт;290,00р.;;;;;;;;;;1;;;2;1;
;;Милк шейк Банан/Дыня стандарт;290,00р.;3;3;;3;;;1;;;;2;1;1;2;1
;;Голубое молоко стандарт;290,00р.;1;2;3;;1;;;2;;;;;2;;
;;Голубое небо стандарт;290,00р.;3;;2;1;;1;1;1;;2;;1;;3;2
;;Чернично Ореховый Милк шейк стандарт;290,00р.;;1;;;;1;1;;1;;;;1;2;1
;;Ванильный Милк Шейк  Стандарт;330,00р.;3;1;1;2;1;;;;;1;2;;;1;2
;;Милк шейк Бубль гум Стандарт;330,00р.;;;;;;;;;;;;;1;;
;;Милк шейк Ваниль Манго  Стандарт;330,00р.;1;;;;;1;;2;;;;;2;;
;;Шоколадный милк шейк  Стандарт;330,00р.;;;;;;;2;;;;1;;1;3;
;Милк шейк макси;;;;;;;;;;;;;;;;;
;;Милк Шейк Макси;350,00р.;;1;;;;;;;;;;;;;1
;;Милк шейк Банан/дыня макси;350,00р.;;;;;;;;;;;;;;1;
;;Голубое молоко макси;350,00р.;;;;;;;;;1;;;;;;
;;Голубое небо макси;350,00р.;;;;;;;;;;;;;1;;1
;;Чернично Ореховый милк шейк МАКСИ;350,00р.;;;;;;;;;;;;;;;
;Смузи;;;;;;;;;;;;;;;;;
;;Смузи  Ваниль-Клубника;290,00р.;2;;2;1;1;2;4;2;1;;1;;1;2;1
;;Смузи  Ананас- Кокос;290,00р.;;;;;1;;;2;;2;1;2;3;1;2
;;Смузи шоколадный;290,00р.;;;;;1;1;2;1;;;;;1;2;1
;;Смузи Кофейно-Банановый стандарт;290,00р.;1;;;1;;1;;1;1;;1;;;1;
;Топинги шарики;;;;;;;;;;;;;;;;;
;;Шарики апельсина;50,00р.;;;;;;;;;;;;;;;
;;Шарики вишни;50,00р.;;;;;;;;;;;;;;;
;;Шарики голубика;50,00р.;;;;;;;;;;;;;;;
;;Шарики граната;50,00р.;;;;;;;;;;;;;;;
;;Шарики дыня;50,00р.;;;;;;;;;;;;;;;
;;Шарики зеленое яблоко;50,00р.;;;;;;;;;;;;;;;
;;Шарики йогурта;50,00р.;;;;;;;;;;;;;;;
;;Шарики киви;50,00р.;;;;;;;;;;;;;;;
;;Шарики клубники;50,00р.;;;;;;;;;;;;;;;
;;Шарики лимон;50,00р.;;;;;;;;;;;;;;;
;;Шарики личи;50,00р.;;;;;;;;1;;;;;;;
;;Шарики малина;50,00р.;;;;;;;;;;;;;;;
;;Шарики манго;50,00р.;;;;;;;;;;;;;;;
;;Шарики маракуйя;50,00р.;;;;;;;;;;;;;;;
;;Шарики персик;50,00р.;;;;;;;;;;;;;;;
;;Шарики черники;50,00р.;;;;;;;;;;;;;;;
;Сироп и кокос;;;;;;;;;;;;;;;;;
;;Кокос в  ананасе;50,00р.;;;;;;;;;;;;;;;
;;Кокос в  зеленый чай;50,00р.;;;;;;;;;;;;;;;
;;Кокос в винограде;50,00р.;;;;;;;;;;;;;;;
;;Кокос в зеленом яблоке;50,00р.;;;;;;;;;;;;;;;
;;Кокос в клубнике;50,00р.;;;;;;;;;;;;;;;
;;Кокос манго;50,00р.;;;;;;;;;;;;;;;
;;СИРОП 15 гр;50,00р.;;;;;;;;1;;;;;;1;2
;;Топиока;50,00р.;;;;;;;;;;;;;;;
;;Фруктовое ассорти;50,00р.;;;;;;;;;;;;;;;
Вафли;;;;;;;;;;;;;;;;;;
;Вафли;;;;;;;;;;;;;;;;;
;;Баббл вафля;100,00р.;2;4;6;4;4;3;5;7;3;3;4;3;5;6;8
;;Баббл вафля с бананом в шоколаде;150,00р.;5;1;2;3;5;4;6;5;3;2;2;3;4;3;4
;;Баббл вафля с лопающими шариками;150,00р.;;;;;;;;;;1;;1;2;2;3
;;Баббл вафля с сыром и ветчиной;170,00р.;;;;;;;;;;;;;;;
;;Баббл вафля с яблоком и корицей;150,00р.;;;;;;;;;;;1;;1;2;1
;;Баббл вафля со сливками;150,00р.;;;;;;2;3;2;;;;;2;3;4
;;Баббл вафля сырная;150,00р.;;;;;;;;;;;;;;;
;Топпинги;;;;;;;;;;;;;;;;;
;;M&M для вафли;50,00р.;;;;;;;;;;;;;;;
;;Snickers для вафли;50,00р.;;;;;;;1;;;;1;;;;1
;;Банан для вафли;50,00р.;;;;;;;;;;;;;;2;1
;;Киви для вафли;50,00р.;;;;;;;2;2;;;;;;4;3
;;Клубника для вафли;50,00р.;;;;;;1;3;4;;;;;;2;4
;;Персик для вафли;50,00р.;;;;;;;;;;;;;;;1
;;Посыпка кондитерская;30,00р.;;;;;;;;1;;;;;;3;
;;Шоколадная поливка для вафли;20,00р.;;;;;;;;2;;;;;;;
Кофе;;;;;;;;;;;;;;;;;;
;Кофе;;;;;;;;;;;;;;;;;
;;Американо 200 мл;145,00р.;4;3;4;3;4;3;4;3;2;3;2;3;4;4;5
;;Американо 300 мл;175,00р.;;1;;1;;;2;2;;;1;;;2;1
;;Капучино 350 мл;195,00р.;;;;;;2;3;1;2;3;2;1;4;3;3
;;Капучино соленая карамель 400 мл;220,00р.;;;;;1;2;;;;;1;;1;;1
;;"Кофе ""Мокка"" 400 мл";195,00р.;;1;2;;1;;1;;;1;;1;;2;1
;;Латте 440 мл;210,00р.;2;1;1;;1;1;;;1;1;;;1;2;1
;;Раф кофе Апельсиновый 400 мл;220,00р.;;;;;;;1;;;;;;;;
;;Раф кофе ванильный 400 мл;220,00р.;2;1;2;2;1;2;3;4;;1;;1;;2;1
;;Эспрессо 40 мл;90,00р.;;;;;;;1;;;;1;;2;;
;;Эспрессо 80 мл;120,00р.;;;;;;;;;;;;;;;
;;Какао с зефирками 400 мл;280,00р.;1;1;;2;1;2;1;2;2;;;1;;;
;добавки;;;;;;;;;;;;;;;;;
;;СИРОП апельсин 10 мл;15,00р.;;;;;;;;;;;;;;;
;;Сироп ванильный 10 мл;25,00р.;;;;;;;;;;;;;;;
;;Сироп карамель 10 мл;25,00р.;;;;;;;;;;;;;;;
Лимонад;;;;;;;;;;;;;;;;;;
;Стандарт;;;;;;;;;;;;;;;;;
;;Голубая лагуна стандарт;255,00р.;;;;;1;;2;2;2;;;;1;1;
;;Лимонад свежесть стандарт;255,00р.;;;;;;1;;1;;1;;2;3;;1
;;Мохито клубничный стандарт;255,00р.;;1;;1;;;;;;;;;1;1;1
