PRODUCT_CODE;ITEM_CODE;ITEM_GROSS_WEIGHT;ITEM_NET_WEIGHT;ITEM_OUT_WEIGHT;TECHNOLOGY;AMOUNT;DATE_FROM;WRITEOFF_TYPE
478;467;0.015000000;0.015000000;0.015000000;;1.000000000;16.12.2015;1
135;98;0.024000000;0.024000000;0.024000000;;1.000000000;16.06.2015;1
135;338;0.350000000;0.350000000;0.350000000;;1.000000000;16.06.2015;1
135;89;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
135;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
135;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
135;23;0.015000000;0.015000000;0.015000000;;1.000000000;16.06.2015;1
307;73;0.030000000;0.030000000;0.030000000;;1.000000000;16.06.2015;1
257;386;0.030000000;0.030000000;0.030000000;;1.000000000;19.06.2015;1
277;54;0.005000000;0.005000000;0.005000000;;1.000000000;16.06.2015;1
277;21;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
277;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
277;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
277;13;0.004000000;0.004000000;0.004000000;;1.000000000;16.06.2015;1
277;23;0.005000000;0.005000000;0.005000000;;1.000000000;16.06.2015;1
277;58;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
277;45;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
450;389;2.000000000;2.000000000;2.000000000;;1.000000000;21.10.2015;1
450;279;2.000000000;2.000000000;2.000000000;;1.000000000;21.10.2015;1
258;80;0.030000000;0.030000000;0.030000000;;1.000000000;16.06.2015;1
477;468;0.015000000;0.015000000;0.015000000;;1.000000000;16.12.2015;1
279;23;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
279;21;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
279;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
279;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
312;339;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
250;19;0.030000000;0.030000000;0.030000000;;1.000000000;19.06.2015;1
283;52;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
283;362;0.180000000;0.180000000;0.180000000;;1.000000000;16.06.2015;1
283;21;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
283;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
283;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
243;83;0.030000000;0.030000000;0.030000000;;1.000000000;19.06.2015;1
184;250;0.040000000;0.040000000;0.040000000;;1.000000000;18.06.2015;1
27;13;0.005000000;0.005000000;0.005000000;;1.000000000;19.04.2015;1
554;357;1.000000000;1.000000000;1.000000000;;1.000000000;15.09.2016;1
302;315;0.030000000;0.030000000;0.030000000;;1.000000000;17.06.2015;1
300;358;0.020000000;0.020000000;0.020000000;;1.000000000;21.09.2016;1
300;338;0.220000000;0.220000000;0.220000000;;1.000000000;21.09.2016;1
300;318;1.000000000;1.000000000;1.000000000;;1.000000000;21.09.2016;1
300;357;1.000000000;1.000000000;1.000000000;;1.000000000;21.09.2016;1
483;46;0.010000000;0.010000000;0.010000000;;1.000000000;10.02.2016;1
483;338;0.250000000;0.250000000;0.250000000;;1.000000000;10.02.2016;1
483;21;1.000000000;1.000000000;1.000000000;;1.000000000;10.02.2016;1
483;24;1.000000000;1.000000000;1.000000000;;1.000000000;10.02.2016;1
483;22;1.000000000;1.000000000;1.000000000;;1.000000000;10.02.2016;1
483;17;0.025000000;0.025000000;0.025000000;;1.000000000;10.02.2016;1
259;11;0.004000000;0.004000000;0.004000000;;1.000000000;30.06.2016;1
259;23;0.005000000;0.005000000;0.005000000;;1.000000000;30.06.2016;1
259;58;0.010000000;0.010000000;0.010000000;;1.000000000;30.06.2016;1
259;38;0.010000000;0.010000000;0.010000000;;1.000000000;30.06.2016;1
259;17;0.005000000;0.005000000;0.005000000;;1.000000000;30.06.2016;1
259;21;1.000000000;1.000000000;1.000000000;;1.000000000;30.06.2016;1
259;24;1.000000000;1.000000000;1.000000000;;1.000000000;30.06.2016;1
259;22;1.000000000;1.000000000;1.000000000;;1.000000000;30.06.2016;1
334;100;0.030000000;0.030000000;0.030000000;;1.000000000;16.06.2015;1
334;338;0.200000000;0.200000000;0.200000000;;1.000000000;16.06.2015;1
334;318;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
334;367;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
334;376;0.015000000;0.015000000;0.015000000;;1.000000000;16.06.2015;1
408;388;1.000000000;1.000000000;1.000000000;;1.000000000;08.02.2016;1
408;405;0.030000000;0.030000000;0.030000000;;1.000000000;08.02.2016;1
408;407;0.030000000;0.030000000;0.030000000;;1.000000000;08.02.2016;1
408;331;0.005000000;0.005000000;0.005000000;;1.000000000;08.02.2016;1
408;473;1.000000000;1.000000000;1.000000000;;1.000000000;08.02.2016;1
408;361;2.000000000;2.000000000;2.000000000;;1.000000000;08.02.2016;1
408;474;1.000000000;1.000000000;1.000000000;;1.000000000;08.02.2016;1
408;366;1.000000000;1.000000000;1.000000000;;1.000000000;08.02.2016;1
168;49;0.025000000;0.025000000;0.025000000;;1.000000000;16.06.2015;1
501;338;0.100000000;0.100000000;0.100000000;;1.000000000;18.04.2016;1
501;358;0.020000000;0.020000000;0.020000000;;1.000000000;18.04.2016;1
501;21;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
501;22;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
501;24;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
501;493;0.040000000;0.040000000;0.040000000;;1.000000000;18.04.2016;1
501;339;0.010000000;0.010000000;0.010000000;;1.000000000;18.04.2016;1
555;357;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
555;93;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
555;367;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
555;361;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
555;91;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
555;556;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
486;363;0.200000000;0.200000000;0.200000000;;1.000000000;18.03.2016;1
486;21;1.000000000;1.000000000;1.000000000;;1.000000000;18.03.2016;1
486;24;1.000000000;1.000000000;1.000000000;;1.000000000;18.03.2016;1
486;22;1.000000000;1.000000000;1.000000000;;1.000000000;18.03.2016;1
486;69;0.010000000;0.010000000;0.010000000;;1.000000000;18.03.2016;1
486;53;0.010000000;0.010000000;0.010000000;;1.000000000;18.03.2016;1
486;52;0.005000000;0.005000000;0.005000000;;1.000000000;18.03.2016;1
428;38;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
522;52;0.020000000;0.020000000;0.020000000;;1.000000000;01.05.2016;1
522;59;0.020000000;0.020000000;0.020000000;;1.000000000;01.05.2016;1
522;31;0.010000000;0.010000000;0.010000000;;1.000000000;01.05.2016;1
522;362;0.320000000;0.320000000;0.320000000;;1.000000000;01.05.2016;1
522;89;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
522;22;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
522;24;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
418;23;0.010000000;0.010000000;0.010000000;;1.000000000;10.10.2015;1
418;339;0.020000000;0.020000000;0.020000000;;1.000000000;10.10.2015;1
418;338;0.050000000;0.050000000;0.050000000;;1.000000000;10.10.2015;1
418;416;0.024000000;0.024000000;0.024000000;;1.000000000;10.10.2015;1
418;417;0.004000000;0.004000000;0.004000000;;1.000000000;10.10.2015;1
418;21;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
418;22;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
418;24;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
333;358;0.010000000;0.010000000;0.010000000;;1.000000000;22.09.2016;1
333;338;0.150000000;0.150000000;0.150000000;;1.000000000;22.09.2016;1
333;323;0.100000000;0.100000000;0.100000000;;1.000000000;22.09.2016;1
333;332;0.020000000;0.020000000;0.020000000;;1.000000000;22.09.2016;1
333;318;1.000000000;1.000000000;1.000000000;;1.000000000;22.09.2016;1
523;52;0.015000000;0.015000000;0.015000000;;1.000000000;01.05.2016;1
523;59;0.015000000;0.015000000;0.015000000;;1.000000000;01.05.2016;1
523;31;0.005000000;0.005000000;0.005000000;;1.000000000;01.05.2016;1
523;362;0.250000000;0.250000000;0.250000000;;1.000000000;01.05.2016;1
523;21;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
523;24;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
523;22;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
304;315;0.040000000;0.040000000;0.040000000;;1.000000000;16.06.2015;1
310;306;0.040000000;0.040000000;0.040000000;;1.000000000;16.06.2015;1
392;71;0.030000000;0.030000000;0.030000000;;1.000000000;08.10.2015;1
187;71;0.030000000;0.030000000;0.030000000;;1.000000000;18.06.2015;1
442;58;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
137;64;0.050000000;0.050000000;0.050000000;;1.000000000;17.06.2015;1
137;363;0.200000000;0.200000000;0.200000000;;1.000000000;17.06.2015;1
137;21;1.000000000;1.000000000;1.000000000;;1.000000000;17.06.2015;1
137;22;1.000000000;1.000000000;1.000000000;;1.000000000;17.06.2015;1
137;24;1.000000000;1.000000000;1.000000000;;1.000000000;17.06.2015;1
186;74;0.030000000;0.030000000;0.030000000;;1.000000000;18.06.2015;1
189;72;0.030000000;0.030000000;0.030000000;;1.000000000;18.06.2015;1
430;17;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
107;339;0.020000000;0.020000000;0.020000000;;1.000000000;28.04.2015;1
446;444;0.030000000;0.030000000;0.030000000;;1.000000000;17.10.2015;1
171;52;0.025000000;0.025000000;0.025000000;;1.000000000;16.06.2015;1
143;52;0.015000000;0.015000000;0.015000000;;1.000000000;16.06.2015;1
143;39;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
143;31;0.005000000;0.005000000;0.005000000;;1.000000000;16.06.2015;1
143;362;0.250000000;0.250000000;0.250000000;;1.000000000;16.06.2015;1
143;21;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
143;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
143;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
420;23;0.010000000;0.010000000;0.010000000;;1.000000000;10.10.2015;1
420;21;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
420;22;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
420;24;1.000000000;1.000000000;1.000000000;;1.000000000;10.10.2015;1
420;97;0.024000000;0.024000000;0.024000000;;1.000000000;10.10.2015;1
420;419;0.004000000;0.004000000;0.004000000;;1.000000000;10.10.2015;1
420;358;0.014000000;0.014000000;0.014000000;;1.000000000;10.10.2015;1
255;340;0.030000000;0.030000000;0.030000000;;1.000000000;19.06.2015;1
156;37;0.025000000;0.025000000;0.025000000;;1.000000000;16.06.2015;1
466;461;0.010000000;0.010000000;0.010000000;;1.000000000;16.11.2015;1
466;465;0.010000000;0.010000000;0.010000000;;1.000000000;16.11.2015;1
466;400;0.001000000;0.001000000;0.001000000;;1.000000000;16.11.2015;1
466;31;0.005000000;0.005000000;0.005000000;;1.000000000;16.11.2015;1
466;85;0.015000000;0.015000000;0.015000000;;1.000000000;16.11.2015;1
466;11;0.005000000;0.005000000;0.005000000;;1.000000000;16.11.2015;1
466;318;1.000000000;1.000000000;1.000000000;;1.000000000;16.11.2015;1
127;23;0.010000000;0.010000000;0.010000000;;1.000000000;16.06.2015;1
127;21;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
127;24;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
127;22;1.000000000;1.000000000;1.000000000;;1.000000000;16.06.2015;1
127;339;0.020000000;0.020000000;0.020000000;;1.000000000;16.06.2015;1
127;338;0.050000000;0.050000000;0.050000000;;1.000000000;16.06.2015;1
470;11;0.005000000;0.005000000;0.005000000;;1.000000000;16.11.2015;1
470;318;1.000000000;1.000000000;1.000000000;;1.000000000;16.11.2015;1
470;465;0.010000000;0.010000000;0.010000000;;1.000000000;16.11.2015;1
470;464;0.002000000;0.002000000;0.002000000;;1.000000000;16.11.2015;1
470;87;0.010000000;0.010000000;0.010000000;;1.000000000;16.11.2015;1
68;374;0.020000000;0.020000000;0.020000000;;1.000000000;16.06.2015;1
557;358;0.010000000;0.010000000;0.010000000;;1.000000000;23.09.2016;1
557;93;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
557;357;1.000000000;1.000000000;1.000000000;;1.000000000;23.09.2016;1
437;50;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
524;46;0.015000000;0.015000000;0.015000000;;1.000000000;01.05.2016;1
524;100;0.024000000;0.024000000;0.024000000;;1.000000000;01.05.2016;1
524;6;0.160000000;0.150400000;0.150400000;;1.000000000;01.05.2016;1
524;338;0.150000000;0.150000000;0.150000000;;1.000000000;01.05.2016;1
524;21;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
524;22;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
524;24;1.000000000;1.000000000;1.000000000;;1.000000000;01.05.2016;1
161;17;0.025000000;0.025000000;0.025000000;;1.000000000;18.06.2015;1
479;467;0.020000000;0.020000000;0.020000000;;1.000000000;22.12.2015;1
34;373;0.020000000;0.020000000;0.020000000;;1.000000000;16.06.2015;1
449;389;1.000000000;1.000000000;1.000000000;;1.000000000;21.10.2015;1
449;131;1.000000000;1.000000000;1.000000000;;1.000000000;21.10.2015;1
526;362;0.200000000;0.200000000;0.200000000;;1.000000000;03.05.2016;1
526;21;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
526;24;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
526;22;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
526;31;0.015000000;0.015000000;0.015000000;;1.000000000;03.05.2016;1
526;50;0.015000000;0.015000000;0.015000000;;1.000000000;03.05.2016;1
526;23;0.010000000;0.010000000;0.010000000;;1.000000000;03.05.2016;1
114;55;0.020000000;0.020000000;0.020000000;;1.000000000;28.04.2015;1
113;54;0.020000000;0.020000000;0.020000000;;1.000000000;28.04.2015;1
435;49;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
296;338;0.220000000;0.220000000;0.220000000;;1.000000000;22.09.2016;1
296;339;0.020000000;0.020000000;0.020000000;;1.000000000;22.09.2016;1
296;329;0.003000000;0.003000000;0.003000000;;1.000000000;22.09.2016;1
296;318;1.000000000;1.000000000;1.000000000;;1.000000000;22.09.2016;1
296;358;0.010000000;0.010000000;0.010000000;;1.000000000;22.09.2016;1
525;362;0.200000000;0.200000000;0.200000000;;1.000000000;03.05.2016;1
525;21;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
525;24;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
525;22;1.000000000;1.000000000;1.000000000;;1.000000000;03.05.2016;1
525;51;0.015000000;0.015000000;0.015000000;;1.000000000;03.05.2016;1
525;50;0.015000000;0.015000000;0.015000000;;1.000000000;03.05.2016;1
525;23;0.010000000;0.010000000;0.010000000;;1.000000000;03.05.2016;1
432;43;0.015000000;0.015000000;0.015000000;;1.000000000;13.10.2015;1
499;46;0.010000000;0.010000000;0.010000000;;1.000000000;18.04.2016;1
499;338;0.250000000;0.250000000;0.250000000;;1.000000000;18.04.2016;1
499;21;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
499;24;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
499;22;1.000000000;1.000000000;1.000000000;;1.000000000;18.04.2016;1
499;492;0.040000000;0.040000000;0.040000000;;1.000000000;18.04.2016;1
