TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE;CATEGORY;QUICK_CODE;EXTERNAL_ID;COOKING_PLACE_TYPE;INCLUDED_IN_MENU
MODIFIER;27;12;Жасмин;порц;0,005;0;0;0;0;0;;29;;Основное место приготовления;0
MODIFIER;68;9;сироп Гуава;порц;0,026;0;0;0;0;0;;71;;;0
GOODS;90;13;Трубочка для кофе черная;шт;0;0;0;0;0;0,35;;93;;;0
MODIFIER;111;9;сироп Лимон;порц;0,026;0;0;0;0;0;;114;;;0
MODIFIER;114;9;сироп Маракуйя;порц;0,026;0;0;0;0;0;;117;;;0
MODIFIER;118;12;Эрл Грей;порц;0,005;0;0;0;0;0;;121;;Основное место приготовления;0
GOODS;95;54;"Сухая смесь ""Банан""";кг;1;0;0;0;0;600;;98;;;0
GOODS;314;54;"Сухая смесь ""Миндаль""";кг;1;0;0;0;0;600;;357;;;0
GOODS;96;54;"Сухая смесь ""Ваниль""";кг;1;0;0;0;0;600;;99;;;0
GOODS;97;54;"Сухая смесь ""Кокос""";кг;1;0;0;0;0;600;;100;;;0
GOODS;99;54;"Сухая смесь ""Сливки""";кг;1;0;0;0;0;600;;102;;;0
GOODS;98;54;"Сухая смесь ""Таро""";кг;1;0;0;0;0;600;;101;;;0
GOODS;85;57;Фрукты Апельсин свежий;кг;1;0;0;0;0;65;;88;;;0
GOODS;6;57;Фрукты Банан свежий;кг;1;0;0;0;0;70;;5;;;0
GOODS;86;57;Фрукты Грейпфрут свежий;кг;1;0;0;0;0;100;;89;;;0
GOODS;87;57;Фрукты Яблоко свежее;кг;1;0;0;0;0;70;;90;;;0
GOODS;91;13;Крышка для стакана 200 мл;шт;1;0;0;0;0;2,5;;94;;;0
GOODS;92;13;Крышка для стакана 300/400 мл;шт;1;0;0;0;0;2,5;;95;;;0
GOODS;319;13;Пакет под стаканы  ( 2 шт);шт;1;0;0;0;0;2,24;;362;;;0
GOODS;93;13;Стакан для кофе бумажный 250 мл;шт;1;0;0;0;0;3,3;;96;;;0
GOODS;318;13;Стакан для кофе бумажный 400 мл;шт;1;0;0;0;0;5,64;;361;;;0
GOODS;320;13;Стакан для промо 100 мл;шт;1;0;0;0;0;0,35;;363;;;0
GOODS;100;54;"Сухая смесь  ""Шоколад """;кг;1;0;0;0;0;830;;103;;;0
GOODS;349;59;термометр;шт;1;0;0;0;0;0;;401;;;0
GOODS;350;59;мерный стакан 100 мл пластик;шт;1;0;0;0;0;0;;402;;;0
GOODS;351;59;помпа дозатор chen;шт;1;0;0;0;0;0;;403;;;0
GOODS;352;59;помпа дозатор Sunny;шт;1;0;0;0;0;0;;404;;;0
GOODS;342;59;шейкер пластиковый 700 мл;шт;1;0;0;0;0;1168;;394;;;0
GOODS;346;59;машинка для запечатывания пленкой;шт;1;0;0;0;0;0;;398;;;0
GOODS;348;59;машина шейкер;шт;1;0;0;0;0;0;;400;;;0
GOODS;345;59;проставочное кольцо;шт;1;0;0;0;0;1800;;397;;;0
GOODS;344;59;фартук мужской;шт;1;0;0;0;0;880;;396;;;0
GOODS;347;59;ложка барная 32 см;шт;1;0;0;0;0;0;;399;;;0
GOODS;343;59;шейкер пластиковый 500 мл;шт;1;0;0;0;0;1110;;395;;;0
GOODS;353;59;дозатор для бутылок Н монин;шт;1;0;0;0;0;242;;405;;;0
GOODS;355;59;крышка 1/6 для гастроемкости;шт;1;0;0;0;0;0;;407;;;0
GOODS;356;59;питчер 350 ммл;шт;1;0;0;0;0;0;;408;;;0
GOODS;359;59;полотенце;шт;1;0;0;0;0;0;;411;;;0
GOODS;368;59;папка с вкладышами;шт;1;0;0;0;0;0;;420;;;0
GOODS;372;59;расходники;шт;1;0;0;0;0;0;;424;;;0
GOODS;377;59;стакан для кофе 0.1;шт;1;0;0;0;0;0;;429;;;0
GOODS;370;59;терка;шт;1;0;0;0;0;0;;422;;;0
GOODS;371;59;банка для сыпучих;кг;1;0;0;0;0;0;;423;;;0
GOODS;378;59;блендер;шт;1;0;0;0;0;0;;430;;;0
GOODS;365;59;набор посуды пластик для вафель;шт;1;0;0;0;0;0;;417;;;0
DISH;301;50;Молоко 50 мл;порц;0,05;0;0;0;0;25;;344;;Основное место приготовления;1
MODIFIER;34;9;сироп Гибискус;порц;0,026;0;0;0;0;0;;37;;Основное место приготовления;0
MODIFIER;209;33;Банан;кг;1;0;0;0;0;0;;236;;;0
MODIFIER;208;33;Ваниль;кг;1;0;0;0;0;0;;235;;;0
MODIFIER;207;33;Кокос;кг;1;0;0;0;0;0;;234;;;0
MODIFIER;159;30;Сироп Гибискус ;порц;0,033;0;0;0;0;0;;180;;;0
MODIFIER;163;30;Сироп Гуава;порц;0,033;0;0;0;0;0;;184;;Основное место приготовления;0
MODIFIER;167;30;Сироп Карамель;порц;0,025;0;0;0;0;0;;188;;Основное место приготовления;0
MODIFIER;171;30;Сироп Лимон ;порц;0,025;0;0;0;0;0;;192;;Основное место приготовления;0
MODIFIER;174;30;Сироп Маракуйя;порц;0,033;0;0;0;0;0;;195;;Основное место приготовления;0
MODIFIER;14;8;Жасмин;порц;0,002;0;0;0;0;0;;14;;Основное место приготовления;0
MODIFIER;12;8;Эрл Грей;порц;0,004;0;0;0;0;0;;12;;Основное место приготовления;0
MODIFIER;210;33;Миндаль;порц;0,024;0;0;0;0;0;;237;;;0
MODIFIER;206;33;Шоколад;порц;0,024;0;0;0;0;0;;233;;;0
MODIFIER;180;31;Кокос в ананасе 40гр.;порц;0,04;0;0;0;0;0;;205;;Основное место приготовления;0
